,cross_val_acc,training_acc,test_acc,train_size,solver,learning_rate_init,max_iter,momentum,hidden_layer_sizes
2730,0.27604357484365627,0.4574095682613769,0.42857142857142855,3428,sgd,1.0,50,0.3,"(130, 130, 130)"
2731,0.4529564363389279,0.45295404814004375,0.42857142857142855,2742,sgd,1.0,50,0.3,"(130, 130, 130)"
2732,0.44893788289348463,0.4489299610894942,0.42857142857142855,2056,sgd,1.0,50,0.3,"(130, 130, 130)"
2733,0.44787156482808654,0.44784828592268416,0.42857142857142855,1371,sgd,1.0,50,0.3,"(130, 130, 130)"
2734,0.4468153008930811,0.4467153284671533,0.42857142857142855,685,sgd,1.0,50,0.3,"(130, 130, 130)"
2735,0.0940375761925201,0.0032088681446907816,0.006122448979591836,3428,sgd,1.0,50,0.3,"(130, 130, 130, 130)"
2736,0.09375690481608977,0.0036469730123997084,0.42857142857142855,2742,sgd,1.0,50,0.3,"(130, 130, 130, 130)"
2737,0.09245161832515839,0.0029182879377431907,0.42857142857142855,2056,sgd,1.0,50,0.3,"(130, 130, 130, 130)"
2738,0.1816826812478986,0.44784828592268416,0.42857142857142855,1371,sgd,1.0,50,0.3,"(130, 130, 130, 130)"
2739,0.3442388113600699,0.00145985401459854,0.006122448979591836,685,sgd,1.0,50,0.3,"(130, 130, 130, 130)"
2740,0.45741226581552585,0.4574095682613769,0.42857142857142855,3428,sgd,1.0,50,0.5,"(13, 13)"
2741,0.4210145125639733,0.45295404814004375,0.42857142857142855,2742,sgd,1.0,50,0.5,"(13, 13)"
2742,0.44893788289348463,0.4489299610894942,0.42857142857142855,2056,sgd,1.0,50,0.5,"(13, 13)"
2743,0.41379749075401245,0.44784828592268416,0.427891156462585,1371,sgd,1.0,50,0.5,"(13, 13)"
2744,0.4468153008930811,0.4467153284671533,0.42857142857142855,685,sgd,1.0,50,0.5,"(13, 13)"
2745,0.45741226581552585,0.29142357059509916,0.42857142857142855,3428,sgd,1.0,50,0.5,"(13, 13, 13)"
2746,0.4529564363389279,0.45295404814004375,0.42857142857142855,2742,sgd,1.0,50,0.5,"(13, 13, 13)"
2747,0.44893788289348463,0.4489299610894942,0.42857142857142855,2056,sgd,1.0,50,0.5,"(13, 13, 13)"
2748,0.44787156482808654,0.44784828592268416,0.42857142857142855,1371,sgd,1.0,50,0.5,"(13, 13, 13)"
2749,0.4468153008930811,0.4467153284671533,0.42857142857142855,685,sgd,1.0,50,0.5,"(13, 13, 13)"
2750,0.45741226581552585,0.4574095682613769,0.3122448979591837,3428,sgd,1.0,50,0.5,"(130, 130, 130)"
2751,0.4529564363389279,0.45295404814004375,0.006122448979591836,2742,sgd,1.0,50,0.5,"(130, 130, 130)"
2752,0.44893788289348463,0.4489299610894942,0.427891156462585,2056,sgd,1.0,50,0.5,"(130, 130, 130)"
2753,0.44787156482808654,0.44784828592268416,0.42857142857142855,1371,sgd,1.0,50,0.5,"(130, 130, 130)"
2754,0.3945764949229318,0.4467153284671533,0.42857142857142855,685,sgd,1.0,50,0.5,"(130, 130, 130)"
2755,0.18444455293670614,0.0032088681446907816,0.006122448979591836,3428,sgd,1.0,50,0.5,"(130, 130, 130, 130)"
2756,0.1834103519174345,0.0036469730123997084,0.42857142857142855,2742,sgd,1.0,50,0.5,"(130, 130, 130, 130)"
2757,0.44893788289348463,0.0029182879377431907,0.42857142857142855,2056,sgd,1.0,50,0.5,"(130, 130, 130, 130)"
2758,0.17971810797897753,0.0029175784099197666,0.006122448979591836,1371,sgd,1.0,50,0.5,"(130, 130, 130, 130)"
2759,0.26736472767222885,0.4467153284671533,0.42857142857142855,685,sgd,1.0,50,0.5,"(130, 130, 130, 130)"
2760,0.42398118077153757,0.4574095682613769,0.42857142857142855,3428,sgd,1.0,50,0.7,"(13, 13)"
2761,0.4529564363389279,0.45295404814004375,0.42857142857142855,2742,sgd,1.0,50,0.7,"(13, 13)"
2762,0.44893788289348463,0.4489299610894942,0.42857142857142855,2056,sgd,1.0,50,0.7,"(13, 13)"
2763,0.44787156482808654,0.44784828592268416,0.42857142857142855,1371,sgd,1.0,50,0.7,"(13, 13)"
